Number of Student,Student ID,Subject,Are you Malaysian above 18 years old?,Where is your hometown?,Do you wish to go back hometown to vote?,I agree to continue my class as usual during 17 - 21 Nov 2022.,I agree to have online class replacement for the leaves during General Election 15.
100,F220167C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
101,D220121B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
102,D220115B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
103,D220100B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
104,F220069B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),N/A
105,B210151B,Project Management BTIS2033,Yes,not Johor Bahru,Yes,Yes (Agree),N/A
106,F220155C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),N/A
107,B210064A,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),N/A
108,B210249C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),N/A
109,B210157B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),N/A
110,B210248C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),N/A
111,B210094B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),N/A
112,B210131B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree),N/A
113,B210001A,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree),N/A
114,B210206C,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),N/A
115,D180373C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),N/A
116,B220108B,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,No,Yes (Agree),N/A
117,B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
118,B220136C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),N/A
119,B220177C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,Yes (Agree),N/A
120,B220003A,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),N/A
121,B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree),Yes
122,B220188C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),Yes
123,F220020A,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),N/A
124,F220099C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),N/A
125,F220162C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),N/A
126,F220162C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),N/A
127,F220134C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,No,,,,N/A
128,F220142C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),N/A
129,F220134C,Programming Logic and Design FACS1003,No,,,,N/A
130,F220107C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),N/A
131,F220124C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
132,F220082C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),N/A
133,F220163C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),N/A
134,F220131C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),N/A
135,F220143C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),N/A
